name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,actual_price
Volkswagen Polo,2012,418573,135072,Diesel,Trustmark Dealer,Automatic,Second Owner,23.01,1912,154.04,305.62,6,618923.1994986029
Toyota Innova,2023,182551,80328,Electric,Trustmark Dealer,Manual,Fourth & Above Owner,24.57,2602,140.36,245.9,5,216230.85329159125
Skoda Rapid,2020,974160,125707,LPG,Trustmark Dealer,Automatic,First Owner,25.97,2492,147.36,317.77,4,1203290.7216757508
Hyundai i20,2021,224914,168799,Electric,Trustmark Dealer,Manual,Third Owner,26.93,2346,118.96,234.39,4,288898.2715603988
Renault Duster,2005,481251,22071,CNG,Trustmark Dealer,Manual,First Owner,26.92,1334,178.01,346.6,7,574113.2473654493
Mahindra XUV500,2011,50000,56914,Petrol,Individual,Manual,First Owner,33.14,1400,93.74,320.08,7,72348.6893395779
Tata Nexon,2006,710439,144177,CNG,Trustmark Dealer,Automatic,Second Owner,14.61,911,117.96,121.57,6,1063230.5849616458
Maruti Swift,2013,915787,13397,Electric,Dealer,Automatic,First Owner,33.86,2491,104.76,338.38,4,1260381.7694042204
Maruti Baleno,2022,773800,48870,Diesel,Dealer,Automatic,Fourth & Above Owner,18.23,2910,158.29,345.0,7,1133404.134663263
Renault Duster,2012,1172764,59624,Electric,Trustmark Dealer,Manual,First Owner,18.39,917,147.89,269.99,7,1468893.4507853854
Tata Nexon,2014,479697,110776,LPG,Individual,Manual,Fourth & Above Owner,27.85,2907,100.9,178.13,7,613246.1785088003
Mahindra XUV500,2014,606670,56664,CNG,Dealer,Automatic,Third Owner,12.49,1766,90.22,319.91,5,734533.214220024
Maruti Baleno,2010,417004,79429,CNG,Trustmark Dealer,Automatic,First Owner,19.59,2255,123.4,324.43,4,529269.266439067
Volkswagen Polo,2008,928328,183465,CNG,Individual,Automatic,Second Owner,20.29,1520,140.24,161.98,5,1032916.2848971636
Toyota Innova,2008,183531,41936,LPG,Dealer,Manual,First Owner,10.83,1704,56.94,106.48,5,267569.3991133763
Renault Duster,2009,939150,177380,Diesel,Individual,Manual,First Owner,13.7,1064,158.99,205.17,6,1092360.417097242
Mahindra XUV500,2009,50000,127375,Electric,Individual,Automatic,Third Owner,34.97,2575,96.62,281.67,5,64383.98887860959
Renault Duster,2013,892548,42217,Diesel,Dealer,Automatic,Third Owner,11.62,2084,62.97,191.82,5,1147270.0172187802
Renault Duster,2020,1268063,143984,CNG,Individual,Automatic,Third Owner,32.27,2787,64.38,250.26,4,1640186.6290104445
Hyundai Creta,2011,606398,47608,LPG,Individual,Manual,Fourth & Above Owner,18.12,2045,100.5,95.89,7,839179.1320053029
Toyota Innova,2014,972202,142751,Diesel,Individual,Manual,First Owner,32.48,1984,98.51,161.45,4,1146731.8861135463
Ford Ecosport,2022,1048823,32248,Electric,Dealer,Automatic,First Owner,22.25,2752,161.75,197.43,6,1329974.1062270934
Maruti Swift,2012,50000,15358,CNG,Dealer,Manual,Third Owner,29.22,2161,113.13,203.1,5,64559.52091864864
Maruti Swift,2005,592946,137944,Electric,Individual,Manual,Fourth & Above Owner,16.94,1526,129.77,95.6,7,718826.6197192896
Tata Nexon,2010,225359,6511,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner,19.56,869,109.88,280.87,5,275337.9450997552
Honda City,2008,50000,142588,Petrol,Individual,Manual,Second Owner,23.03,2277,133.97,309.24,7,60392.54272432852
Mahindra XUV500,2005,50000,186137,Electric,Trustmark Dealer,Automatic,Second Owner,20.34,2096,89.31,341.43,7,60621.24573272259
Renault Duster,2012,384553,193317,Petrol,Trustmark Dealer,Manual,Third Owner,11.82,976,166.04,92.07,6,499753.5665188663
Mahindra XUV500,2017,1095195,151065,CNG,Trustmark Dealer,Manual,First Owner,18.21,1855,172.56,173.71,4,1365073.584559666
Toyota Innova,2005,1012712,21622,LPG,Trustmark Dealer,Manual,Fourth & Above Owner,31.74,1846,90.66,295.47,4,1238806.345743477
Mahindra XUV500,2023,394926,55107,Petrol,Dealer,Manual,Second Owner,33.32,854,60.39,137.93,7,515115.5292556816
Hyundai i20,2012,228064,123629,Petrol,Individual,Automatic,Third Owner,18.67,2160,199.23,208.56,5,292471.2300105824
Volkswagen Polo,2019,1273407,168159,CNG,Dealer,Automatic,Third Owner,16.44,2080,105.64,150.34,4,1682432.449415466
Hyundai Creta,2005,455207,80921,Petrol,Dealer,Automatic,Second Owner,29.56,1093,81.32,296.08,4,673338.6077588836
Maruti Swift,2019,760205,82265,CNG,Individual,Automatic,Third Owner,14.52,2679,140.07,247.37,7,1053807.5541948804
Hyundai i20,2012,1154517,96279,CNG,Trustmark Dealer,Manual,Second Owner,24.21,919,197.64,242.97,5,1598738.2641401647
Mahindra XUV500,2011,50000,189055,Diesel,Individual,Manual,First Owner,12.12,1813,53.78,278.8,6,66882.53661048232
Volkswagen Polo,2011,429134,142932,Electric,Individual,Automatic,Second Owner,16.71,1468,66.12,149.07,6,566859.1476312635
Skoda Rapid,2017,50000,172249,LPG,Individual,Automatic,First Owner,26.17,1968,75.78,126.71,5,56319.50322674396
Volkswagen Polo,2010,810999,173390,Electric,Individual,Automatic,First Owner,10.62,2112,85.97,179.84,4,1176352.912267391
Toyota Innova,2010,715408,190086,Petrol,Trustmark Dealer,Manual,First Owner,20.04,1030,55.06,189.85,7,877734.9342421374
Volkswagen Polo,2012,1124475,23999,LPG,Dealer,Automatic,Second Owner,14.07,2263,111.7,251.07,7,1556543.3508470787
Tata Nexon,2006,50000,11232,Electric,Individual,Manual,Second Owner,29.4,961,74.82,264.33,5,67671.95684810929
Ford Ecosport,2008,534000,31063,Petrol,Trustmark Dealer,Manual,First Owner,10.72,2705,185.01,273.77,5,713637.2973720768
Hyundai i20,2006,777407,126395,Petrol,Dealer,Automatic,Second Owner,25.83,2108,137.83,338.47,5,984425.432272064
Hyundai i20,2020,1354933,28573,CNG,Dealer,Automatic,Second Owner,28.9,2244,141.24,185.59,7,1614526.2849983352
Renault Duster,2008,50000,46493,CNG,Trustmark Dealer,Manual,First Owner,26.85,1535,100.13,292.64,7,73386.72980075637
Honda City,2022,1070272,173722,Electric,Dealer,Automatic,Fourth & Above Owner,10.78,1502,75.17,316.11,6,1278541.5434203784
Mahindra XUV500,2011,50000,100219,Petrol,Dealer,Manual,Third Owner,28.54,1276,155.66,268.72,5,59005.47548179138
Skoda Rapid,2016,295518,153014,LPG,Dealer,Automatic,Second Owner,19.09,1800,78.37,347.1,4,363309.5513635005
Hyundai i20,2020,1270084,36263,Petrol,Individual,Automatic,Second Owner,16.68,1978,96.94,327.57,7,1435051.465225177
Toyota Innova,2014,291051,66362,Diesel,Trustmark Dealer,Manual,Second Owner,14.16,1032,96.06,201.3,7,382385.62752466544
Skoda Rapid,2018,371469,27874,Electric,Dealer,Automatic,First Owner,11.19,991,177.97,198.79,6,414239.1744509556
Hyundai Creta,2022,757376,22866,Diesel,Trustmark Dealer,Manual,Second Owner,14.94,1870,81.76,229.46,4,1037159.9454522432
Tata Nexon,2019,266460,170187,Petrol,Dealer,Automatic,Fourth & Above Owner,20.04,2197,115.93,326.29,7,331813.01891638874
Maruti Swift,2022,473116,82679,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner,12.64,923,198.04,270.86,6,656206.1206562722
Honda City,2019,261176,52497,Diesel,Individual,Automatic,First Owner,20.78,1013,62.45,127.26,4,354442.43142864486
Renault Duster,2006,160936,104472,LPG,Dealer,Manual,Second Owner,27.44,819,122.06,211.6,5,210128.9130703869
Mahindra XUV500,2019,69625,100086,Electric,Individual,Manual,Fourth & Above Owner,15.37,2120,167.26,317.79,6,103242.78227782152
Volkswagen Polo,2009,256031,86038,Petrol,Trustmark Dealer,Automatic,First Owner,32.37,2194,70.06,190.69,7,300840.0497315075
Toyota Innova,2008,605847,177237,CNG,Dealer,Manual,Third Owner,16.44,913,134.87,137.3,7,848207.4736958614
Volkswagen Polo,2022,1309569,94700,Petrol,Trustmark Dealer,Manual,Third Owner,24.7,1542,70.96,246.96,5,1707833.799667109
Hyundai Creta,2010,980377,38636,CNG,Trustmark Dealer,Automatic,Fourth & Above Owner,30.94,2535,72.74,234.31,5,1347451.2022407542
Toyota Innova,2017,360858,144697,LPG,Dealer,Automatic,Fourth & Above Owner,29.19,2628,190.8,226.87,6,530924.9204425776
Kia Seltos,2011,277296,38778,Petrol,Individual,Automatic,Second Owner,20.46,2726,167.35,284.71,5,350978.43874787795
Mahindra XUV500,2017,345567,174287,CNG,Dealer,Automatic,Third Owner,15.73,1145,168.13,93.56,5,476551.1863902728
Maruti Swift,2012,737348,32952,Petrol,Individual,Manual,Fourth & Above Owner,19.5,2968,66.63,139.27,4,967429.0348917688
Mahindra XUV500,2019,498797,161467,Diesel,Trustmark Dealer,Automatic,First Owner,17.12,2241,162.01,180.99,4,553786.9867187549
Honda City,2006,50000,110950,CNG,Trustmark Dealer,Manual,Fourth & Above Owner,18.95,889,54.94,251.94,4,72281.93701107024
Ford Ecosport,2017,157991,60857,LPG,Dealer,Automatic,Third Owner,30.38,1840,59.49,278.19,5,234339.48178034945
Mahindra XUV500,2008,482564,160533,Petrol,Trustmark Dealer,Manual,First Owner,12.58,2712,144.11,187.84,4,572790.8151512765
Hyundai i20,2020,433431,143550,Electric,Trustmark Dealer,Manual,First Owner,31.8,1597,156.09,167.49,5,503485.08728804206
Tata Nexon,2011,50000,69563,Petrol,Individual,Automatic,First Owner,34.04,2134,51.31,305.31,7,57916.10276936652
Hyundai i20,2010,244063,108808,LPG,Dealer,Automatic,First Owner,17.9,2779,89.56,278.56,4,362357.58145150985
Volkswagen Polo,2007,490423,38458,Electric,Individual,Automatic,First Owner,27.69,909,125.05,223.54,6,578660.836060579
Mahindra XUV500,2017,193539,112411,Petrol,Dealer,Automatic,First Owner,18.82,2613,56.54,257.5,6,282245.4395810779
Hyundai Creta,2021,765342,183217,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner,25.59,2575,54.54,117.99,5,1136392.4271394522
Honda City,2021,1269301,94644,Diesel,Dealer,Automatic,First Owner,25.53,1149,62.17,317.71,6,1614803.0398667532
Skoda Rapid,2006,562817,75392,LPG,Trustmark Dealer,Manual,First Owner,28.51,1701,138.57,233.95,7,639079.3131783955
Volkswagen Polo,2011,169100,63073,Diesel,Trustmark Dealer,Automatic,Second Owner,18.73,1392,143.38,317.09,6,191497.0030054933
Renault Duster,2014,1029702,64769,Electric,Individual,Manual,First Owner,24.68,1491,142.57,180.13,7,1311277.1429982665
Tata Nexon,2007,602652,90496,Diesel,Dealer,Manual,Third Owner,33.72,1190,86.6,245.63,6,901767.3647830072
Toyota Innova,2010,50000,36324,Petrol,Dealer,Automatic,Fourth & Above Owner,26.55,2784,128.57,155.55,7,70120.78759490994
Maruti Baleno,2011,926762,129212,Petrol,Individual,Automatic,Third Owner,32.7,852,99.51,105.07,5,1185308.9384404807
Hyundai i20,2008,430388,171309,LPG,Individual,Manual,Fourth & Above Owner,29.36,2651,87.57,113.61,6,619141.1975150463
Honda City,2013,391507,11009,Electric,Individual,Automatic,First Owner,27.75,1093,187.42,342.19,4,495432.8369806623
Honda City,2015,526265,22382,CNG,Individual,Automatic,Fourth & Above Owner,11.88,1060,178.27,135.19,5,639538.0671434366
Hyundai i20,2014,136558,87179,Electric,Trustmark Dealer,Manual,Fourth & Above Owner,11.29,1431,162.33,206.1,4,155768.2447821154
Volkswagen Polo,2018,453567,168039,Petrol,Individual,Automatic,Fourth & Above Owner,31.85,1616,55.6,348.39,4,647538.4730626129
Maruti Baleno,2009,50000,31238,Petrol,Dealer,Automatic,Second Owner,16.4,1220,103.45,332.34,5,69072.46656570054
Renault Duster,2015,726662,161493,LPG,Individual,Manual,Second Owner,29.47,1289,154.1,349.28,5,854729.798648499
Hyundai i20,2019,511446,46875,Electric,Dealer,Manual,Second Owner,28.25,2326,91.43,346.44,4,581369.6366949653
Maruti Baleno,2015,1035673,54852,Diesel,Dealer,Automatic,First Owner,33.62,1313,143.58,255.56,4,1179930.3189927728
Ford Ecosport,2012,461976,7704,LPG,Individual,Automatic,First Owner,11.83,2990,104.71,144.17,7,539068.3469111768
Toyota Innova,2021,491291,81459,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner,31.37,1756,124.7,262.11,4,565883.1659835031
Renault Duster,2008,488351,77532,Diesel,Trustmark Dealer,Automatic,Second Owner,28.45,2091,195.2,194.3,4,568356.9885006533
Volkswagen Polo,2022,187646,45118,CNG,Dealer,Manual,Fourth & Above Owner,17.63,1539,170.35,226.68,4,229974.3450215344
Renault Duster,2011,407834,144266,LPG,Individual,Automatic,Second Owner,16.18,1792,94.91,133.67,6,455964.89995761146
Kia Seltos,2017,1108842,171438,LPG,Trustmark Dealer,Manual,First Owner,19.29,2090,53.66,190.87,4,1655977.872013969
Mahindra XUV500,2017,539137,179887,LPG,Dealer,Automatic,Fourth & Above Owner,13.16,1456,153.9,253.29,5,713967.1569812519
Honda City,2010,1250300,77933,CNG,Individual,Manual,Second Owner,16.76,1437,95.06,172.82,7,1413383.5005955396
Renault Duster,2011,491475,41028,LPG,Individual,Manual,Fourth & Above Owner,14.18,1799,96.86,159.91,5,550966.8945432806
Hyundai Creta,2005,637538,18263,Electric,Individual,Automatic,Second Owner,34.26,1273,57.68,303.22,7,865210.2516765426
Maruti Baleno,2018,233292,117402,CNG,Dealer,Manual,Fourth & Above Owner,13.9,2294,130.53,180.25,4,302979.73976803303
Ford Ecosport,2021,716559,20680,Electric,Individual,Manual,Second Owner,21.49,843,82.56,199.32,6,843477.7621182336
Kia Seltos,2011,325283,126917,Electric,Trustmark Dealer,Automatic,Second Owner,26.0,2034,142.03,124.91,5,484147.8799425706
Volkswagen Polo,2022,841906,36224,Petrol,Dealer,Automatic,Second Owner,13.88,972,66.75,153.5,4,1101057.0840639248
Maruti Swift,2016,683977,19670,Petrol,Trustmark Dealer,Automatic,Third Owner,24.17,2167,143.76,198.39,5,768991.9442174586
Skoda Rapid,2009,826379,18313,Diesel,Individual,Automatic,Third Owner,14.82,2853,105.98,236.85,6,1189797.9814863412
Skoda Rapid,2020,1006890,173829,Petrol,Dealer,Manual,First Owner,28.89,2305,83.53,301.99,5,1118391.5538147306
Mahindra XUV500,2013,207717,145232,CNG,Trustmark Dealer,Automatic,Second Owner,10.88,2471,183.62,191.33,6,241529.5047511469
Tata Nexon,2015,661984,183142,Petrol,Individual,Automatic,First Owner,30.58,2409,155.17,244.35,5,877075.8230838865
Ford Ecosport,2008,50000,37820,LPG,Dealer,Automatic,First Owner,21.09,905,50.05,244.4,7,65159.77404334081
Hyundai i20,2007,1102701,131444,LPG,Dealer,Manual,Fourth & Above Owner,23.72,1754,69.24,335.33,4,1582339.2512085382
Hyundai Creta,2017,1045097,135775,Petrol,Individual,Manual,Third Owner,22.75,898,193.26,302.5,4,1340805.5739033655
Volkswagen Polo,2014,1136232,110597,Diesel,Trustmark Dealer,Manual,First Owner,25.09,2270,82.96,113.58,5,1270811.550093563
Honda City,2011,1159947,113733,Diesel,Trustmark Dealer,Automatic,Second Owner,31.22,2396,101.58,110.88,7,1543127.9737883343
Maruti Baleno,2020,786437,127248,Electric,Individual,Manual,First Owner,17.61,2780,60.81,100.49,4,936970.6308939984
Hyundai i20,2018,645576,19109,LPG,Trustmark Dealer,Automatic,Third Owner,21.27,962,52.37,168.03,7,769563.8555711869
Hyundai Creta,2011,778925,133586,LPG,Individual,Manual,First Owner,19.18,1091,173.29,207.49,7,1097695.771780428
Volkswagen Polo,2018,578817,40725,Petrol,Individual,Automatic,Third Owner,22.15,1595,157.05,230.35,4,714673.283540002
Maruti Baleno,2019,925162,61187,Petrol,Dealer,Manual,Third Owner,11.22,1366,139.74,300.44,6,1028891.2948650568
Maruti Swift,2007,673430,141016,Petrol,Trustmark Dealer,Manual,Third Owner,20.8,2298,116.81,287.47,6,928771.6268463872
Mahindra XUV500,2017,911644,136220,Electric,Dealer,Automatic,Fourth & Above Owner,28.0,2364,150.62,283.15,7,1156504.391683058
Ford Ecosport,2018,613868,157239,CNG,Individual,Automatic,First Owner,31.37,1882,78.36,99.36,5,743206.7248790684
Maruti Baleno,2009,50000,83840,Diesel,Individual,Manual,Second Owner,13.96,1241,133.77,115.14,4,57310.58753124689
Toyota Innova,2013,1241203,175235,LPG,Trustmark Dealer,Automatic,Second Owner,23.73,1607,164.81,330.41,7,1803770.484141937
Honda City,2023,1060766,50919,CNG,Dealer,Manual,Fourth & Above Owner,15.51,1766,127.62,260.4,7,1373231.7078796749
Volkswagen Polo,2022,380422,91734,Electric,Dealer,Automatic,Third Owner,19.38,1025,195.99,237.05,6,486208.3736583259
Maruti Swift,2020,1198114,12779,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner,25.65,2327,141.03,279.88,6,1550724.0155043348
Honda City,2007,122105,132582,LPG,Trustmark Dealer,Manual,First Owner,34.18,913,193.44,92.13,7,166495.559518326
Honda City,2006,50000,105165,LPG,Dealer,Automatic,First Owner,32.4,2862,91.03,325.05,4,70380.44324115568
Volkswagen Polo,2007,966844,139605,Diesel,Dealer,Manual,Fourth & Above Owner,15.67,1242,69.44,210.46,4,1249287.24321855
Renault Duster,2015,832514,29602,Petrol,Dealer,Manual,Fourth & Above Owner,12.53,2809,172.11,238.4,4,940405.9599620552
Volkswagen Polo,2011,627947,163469,Diesel,Individual,Automatic,First Owner,32.42,2532,197.53,335.02,4,887903.2215628242
Ford Ecosport,2018,1247411,134064,Electric,Trustmark Dealer,Manual,Third Owner,15.83,2548,132.43,270.7,4,1832780.0467491844
Skoda Rapid,2008,637315,148427,LPG,Dealer,Automatic,Fourth & Above Owner,28.53,2716,129.16,118.25,5,832489.5295330255
Tata Nexon,2020,1170276,186746,Diesel,Individual,Manual,Second Owner,32.18,1699,57.95,120.75,5,1620637.9915611686
Honda City,2023,872175,11948,Electric,Individual,Automatic,Third Owner,31.87,2009,135.31,238.43,5,1207707.3333796945
Hyundai i20,2007,866850,67283,Diesel,Dealer,Automatic,Fourth & Above Owner,30.56,2813,198.97,258.94,5,1297156.8837445676
Tata Nexon,2021,869132,87273,CNG,Individual,Manual,Second Owner,26.9,1977,123.81,334.78,7,1116008.9411243205
Kia Seltos,2019,436059,198233,Electric,Dealer,Automatic,Second Owner,26.82,925,149.06,320.47,4,571611.1106851524
Ford Ecosport,2021,307446,51561,CNG,Individual,Manual,First Owner,27.01,1979,65.1,159.04,7,451202.3864852632
Hyundai i20,2008,209751,192612,Diesel,Individual,Manual,First Owner,31.25,2696,191.62,309.28,5,268237.89906537195
Kia Seltos,2012,749069,177285,CNG,Individual,Automatic,First Owner,11.51,1203,174.24,241.38,6,961793.8293367528
Hyundai Creta,2005,145761,66292,Electric,Trustmark Dealer,Manual,Fourth & Above Owner,11.39,1522,170.63,260.68,4,166027.90221383158
Maruti Swift,2005,95972,65675,Petrol,Individual,Manual,First Owner,27.3,1420,175.27,260.13,7,131502.30860897634
Honda City,2006,1062584,116806,Electric,Trustmark Dealer,Automatic,Third Owner,28.45,1759,107.01,117.85,7,1449093.3518751494
Maruti Baleno,2017,731795,32729,CNG,Individual,Automatic,First Owner,20.32,2311,136.84,129.93,6,961597.3118003556
Toyota Innova,2014,789979,145408,Petrol,Individual,Automatic,Fourth & Above Owner,30.19,1063,180.38,278.18,4,890717.7098207601
Volkswagen Polo,2014,50000,130651,Electric,Individual,Automatic,Second Owner,29.6,2074,164.59,94.25,7,66982.5619499615
Skoda Rapid,2011,906181,17975,Petrol,Trustmark Dealer,Automatic,Third Owner,16.79,2204,163.57,130.51,5,1270600.101479216
Volkswagen Polo,2023,1250912,137084,Diesel,Individual,Automatic,Second Owner,20.71,1016,185.39,192.15,6,1547474.4043485362
Skoda Rapid,2006,152346,20179,Electric,Trustmark Dealer,Automatic,Fourth & Above Owner,13.05,2249,117.9,125.27,5,197557.31702507948
Hyundai Creta,2021,1433345,122606,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner,19.31,2620,180.51,187.38,5,2074275.695899321
Ford Ecosport,2019,278393,6285,Petrol,Individual,Manual,Fourth & Above Owner,20.45,1209,129.41,102.5,6,333753.72916443605
Kia Seltos,2011,227168,70805,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner,23.01,2729,157.94,290.87,6,268216.88538744306
Honda City,2012,203647,107720,Diesel,Dealer,Manual,First Owner,21.45,1262,191.58,237.41,4,251785.28557057164
Mahindra XUV500,2010,226417,186948,LPG,Trustmark Dealer,Manual,Third Owner,11.11,2570,155.28,325.78,4,258402.8547674219
Tata Nexon,2019,134839,121510,Electric,Dealer,Automatic,First Owner,14.38,2515,129.15,265.86,7,169718.46409332397
Volkswagen Polo,2010,822467,89419,LPG,Dealer,Manual,Fourth & Above Owner,33.88,1845,195.51,180.67,4,931166.374289562
Skoda Rapid,2019,1052859,87621,Petrol,Trustmark Dealer,Manual,Second Owner,24.05,2439,126.33,266.54,4,1164262.5315966636
Tata Nexon,2022,957227,166616,Diesel,Trustmark Dealer,Manual,First Owner,33.93,2251,147.7,146.56,7,1296082.8857434215
Kia Seltos,2013,367118,135595,Diesel,Trustmark Dealer,Manual,Third Owner,22.45,1376,86.6,164.5,7,453612.08680066105
Skoda Rapid,2014,714023,117317,Electric,Dealer,Automatic,First Owner,21.2,2809,89.82,298.57,5,974171.4124601916
Hyundai i20,2022,1395191,67482,CNG,Individual,Automatic,Third Owner,11.92,1442,198.2,283.08,4,1538466.518028241
Tata Nexon,2018,277643,47218,LPG,Dealer,Automatic,Third Owner,13.31,886,141.21,168.76,7,309936.4811579432
Maruti Swift,2012,965831,9388,LPG,Trustmark Dealer,Manual,First Owner,21.09,2221,178.62,257.63,7,1172981.1234043208
Skoda Rapid,2006,50000,156167,CNG,Individual,Automatic,Third Owner,25.42,1665,184.69,142.29,4,68791.66304489003
Kia Seltos,2018,575367,186803,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner,28.36,2462,130.39,180.96,4,791559.8821981444
Hyundai Creta,2017,227580,54743,LPG,Trustmark Dealer,Automatic,First Owner,21.7,1144,60.17,302.51,5,253807.21962159424
Ford Ecosport,2023,164126,16071,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner,31.06,856,64.94,214.95,4,220449.27003869435
Ford Ecosport,2014,568014,53806,Electric,Trustmark Dealer,Automatic,Third Owner,29.63,888,100.77,216.37,5,728212.0947221577
Ford Ecosport,2023,432974,141047,CNG,Individual,Manual,First Owner,24.85,2717,124.51,130.32,7,489003.8052239776
Kia Seltos,2022,1383616,18275,Diesel,Trustmark Dealer,Manual,Third Owner,33.79,1999,137.25,349.57,5,1858576.0730346944
Hyundai Creta,2005,618730,83131,Electric,Trustmark Dealer,Automatic,First Owner,15.61,2759,147.59,221.12,5,846182.1316345984
Volkswagen Polo,2012,704458,183048,LPG,Trustmark Dealer,Automatic,Third Owner,19.71,2437,109.51,291.85,5,1024541.1032521937
Hyundai Creta,2017,1081492,47903,CNG,Trustmark Dealer,Automatic,Fourth & Above Owner,18.26,2482,126.72,148.37,4,1379338.0606685034
Hyundai i20,2011,936339,41852,Diesel,Individual,Automatic,Third Owner,34.91,1082,172.63,338.68,6,1384642.8878495395
Skoda Rapid,2013,1193072,164473,CNG,Trustmark Dealer,Automatic,Third Owner,19.51,1320,154.62,102.93,4,1411132.4172980906
Toyota Innova,2019,414210,69177,CNG,Trustmark Dealer,Automatic,Second Owner,17.47,1162,113.3,265.61,4,614290.7392463621
Tata Nexon,2022,1398851,144083,Petrol,Trustmark Dealer,Automatic,First Owner,20.04,1707,65.77,226.08,5,2074805.780956728
Maruti Swift,2010,557430,102766,Petrol,Individual,Automatic,First Owner,27.65,1016,153.27,243.33,4,682860.3032106773
Tata Nexon,2018,1288837,57516,Petrol,Trustmark Dealer,Manual,Second Owner,26.74,1193,155.94,270.85,4,1590812.2378777952
Volkswagen Polo,2009,469797,141037,Petrol,Dealer,Manual,Fourth & Above Owner,27.65,1779,105.48,228.99,4,681255.2102946707
Toyota Innova,2012,806218,6387,LPG,Trustmark Dealer,Automatic,First Owner,10.12,1475,108.35,303.47,5,1097564.2034447675
Toyota Innova,2016,464708,114452,LPG,Dealer,Automatic,Third Owner,21.3,977,86.5,164.05,6,649730.7455944403
Mahindra XUV500,2022,1202075,104983,LPG,Individual,Automatic,Second Owner,31.48,2013,144.96,189.0,7,1620621.0295128366
Tata Nexon,2014,50000,8541,Diesel,Individual,Automatic,First Owner,30.17,2474,190.17,297.34,7,60575.689327690685
Mahindra XUV500,2006,50000,184865,Diesel,Dealer,Automatic,First Owner,14.35,1944,132.54,241.27,6,73851.203417721
Maruti Swift,2022,114382,45288,Diesel,Dealer,Automatic,Third Owner,18.39,1674,108.75,336.26,6,148148.5556226431
Toyota Innova,2012,219988,59983,LPG,Individual,Automatic,Fourth & Above Owner,24.26,1410,136.01,95.54,6,301066.1789296682
Mahindra XUV500,2012,91930,9169,Electric,Trustmark Dealer,Automatic,Third Owner,14.9,2390,195.56,174.6,6,121647.11579439076
Ford Ecosport,2009,110804,149966,Diesel,Dealer,Manual,Third Owner,12.57,2088,88.5,201.17,6,151959.28764976794
Maruti Baleno,2018,57720,125957,Petrol,Individual,Automatic,Third Owner,28.98,1665,65.03,262.13,4,73849.04315129493
Skoda Rapid,2006,1047734,56281,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner,10.78,2816,133.44,314.36,5,1367066.025757033
Honda City,2015,751847,193900,Petrol,Dealer,Automatic,Second Owner,26.85,2142,66.23,261.32,6,1038861.6819239708
Hyundai i20,2016,56486,160603,Diesel,Dealer,Manual,Second Owner,11.77,1436,198.67,159.94,7,81242.4453303605
Volkswagen Polo,2012,1019869,85334,CNG,Dealer,Automatic,First Owner,28.82,2439,153.8,105.68,6,1410620.477876486
Volkswagen Polo,2019,51293,155206,Petrol,Individual,Manual,Fourth & Above Owner,19.82,1809,176.07,266.73,7,75866.36961903468
Skoda Rapid,2011,752673,83007,LPG,Individual,Manual,Second Owner,17.96,1460,81.86,244.46,6,1092519.0826731082
Volkswagen Polo,2015,573665,18391,LPG,Individual,Manual,First Owner,26.7,1101,158.89,332.49,4,823624.9643960737
Toyota Innova,2015,1247807,26017,Electric,Dealer,Manual,Third Owner,14.27,2212,68.81,237.09,5,1482470.6367207114
Ford Ecosport,2019,409727,114663,Petrol,Dealer,Automatic,Fourth & Above Owner,14.69,1390,76.51,92.52,5,592418.6329229546
Renault Duster,2016,1095963,184324,Petrol,Dealer,Automatic,Second Owner,10.14,1866,133.1,272.32,6,1535600.123561229
Kia Seltos,2008,50000,55501,LPG,Dealer,Automatic,First Owner,19.86,2172,145.35,245.86,5,59224.731061343286
Toyota Innova,2016,295870,31252,CNG,Dealer,Manual,Fourth & Above Owner,28.73,2147,102.22,260.54,7,382284.14596961753
Ford Ecosport,2017,148857,88174,Diesel,Individual,Manual,Second Owner,20.03,2150,137.45,153.26,6,167582.86108420306
Hyundai i20,2006,50000,109519,Petrol,Individual,Automatic,Fourth & Above Owner,27.02,2456,103.83,287.45,7,58588.92552204711
Toyota Innova,2005,50000,138143,Diesel,Dealer,Automatic,Third Owner,20.51,1748,113.12,304.02,4,58868.69883284555
Kia Seltos,2010,499759,108659,Petrol,Trustmark Dealer,Automatic,Third Owner,25.1,2960,188.07,332.06,4,624434.8002123525
Hyundai Creta,2012,699872,94453,Diesel,Dealer,Manual,Second Owner,23.44,2921,111.7,98.56,4,911053.6958039928
Skoda Rapid,2013,934568,36522,Petrol,Individual,Manual,Fourth & Above Owner,33.6,2227,161.07,118.24,4,1227992.6421541958
Tata Nexon,2016,419673,22315,Diesel,Dealer,Manual,Third Owner,28.86,2460,191.12,226.44,7,534099.0074363512
